,Name,Primary Source,Description,External Links / Additional Notes
,Melted Postman,https://youtu.be/53nS9iKJWyo,"Triggering postman below the map causes link to fall to nearly -1 billion units, losing floating precision for the rendering on Link and the Postman",
,Postman Falls Off Cliff,https://youtu.be/rCMRDy7Aw3g,Trigger the postman in a specific spot to get him to run off a cliff,
,Eldin Field OOB / Double Load Crash,https://www.youtube.com/watch?v=grbKJelZ32k,"Jump strike to get out of bounds, then void out, then this leads can lead to a crash from double loading the area.",
,[Wii?] Early Heart Piece via Clawshot,https://youtu.be/S3k_Ctc_IIM,Use an extremely precise clawshot to access the heart piece area without the use of bomb arrows.,
,[Cross-Post] Back in Time Wrong Ooccoo Coordinates,https://www.youtube.com/watch?v=-4Z_LFVYUbQ,"Use Ooccoo after back in time without watching the cutscene, and Link will respawn at the wrong coordinates",
,[Cross-Post] Back in Time Stick Link,https://www.youtube.com/watch?v=neU2FLZtoZQ,"Use Ooccoo after back in time without watching the cutscene, and Link will respawn at the wrong coordinates, but spawn inside water causing Link's animations to corrupt turning into a vertical line.",
,Glitchy King Bulbin 1 as Wolf,https://youtu.be/TP_nlQIfW4A,Causes severe cutscene glitches,
,Vanishing Pulled Items,[Hacks] https://youtu.be/dCn2f-VI41A,"Pulled items can disappear, similar to what happens in Garudo Desert Mesa.",
,,,,
,Lower Eldin Field (Gorge),,,
,Gorge Skip,https://www.zeldaspeedruns.com/tp/msb/gorge-skip,Frame-perfect A press to skip a forced warp and save time.,
,Rupee Roll,https://www.zeldaspeedruns.com/tp/msb/gorge-skip,Cross the Gorge without needing the bridge.,See primary source for alternate methods
,Warp Into Void,https://www.youtube.com/watch?v=ByGiPlCSdh8,"? Not sure of steps. Warping to Gorge gets enabled, but bridge stays behind somehow.",
,Gorge Cave Clip,https://youtu.be/fl_-EWN5Og8,Get OOB by jumping into a wall,
,Epona Gorge Cross,https://youtu.be/DuAxew7kRAU?si=7YH_6Pa8vms78W_r&t=146,Cross the Gorge with Epona after doing BiTE,
,Enemy Drowns on Land,https://twitter.com/TakaRikka_/status/1243089743006429185,"Lure enemy off a cliff above water, and it drowns in the air",
,Dominion Rod Superjump,https://www.youtube.com/watch?v=OZ7z2IfnhIE,Superjump to get to 100 rupee chest on ledge as wolf link.,
,,,,
,Kakariko Graveyard,,,
,Eldin Twilight Well Clip,https://www.youtube.com/watch?v=5n6UB5pHEGw,Jump into the side of the well as human Link to enter it early.,
,Rutella Tunnel Warp,<Need video>,Backpedal while Rutella's spirit is guiding link to the Zora armor to warp forward,
,,,,
,Death Mountain,,,
,Death Mountain Cutscene Trigger Skip,https://youtu.be/lI7YtSIYMm4,"Bypass the twilight loading trigger and hit the normal load trigger, skipping the intro cutscene.",
,Goron Wrestle Escape,,Precise movement to escape the event before the wrestling begins,
,Goron Wrestle Camera Soft-Lock,https://youtu.be/AEVg2SiOkus,"Roll into the Goron guarding the mountain entrance. In a 1 frame window before the wrestle event starts, roll forward again and then equip iron boots. Throw him, and the camera should soft-lock, and the event will not be considered complete.",
,[Wii?] Goron Limbo (3rd person C-Up),https://www.youtube.com/watch?v=XMHSvjPAyUM,Camera glitch to view Link in 3rd person while using C-up controls.,
,Goron Shuffle,,,
,Black meteor cutscene,https://youtu.be/ZY1yg9YO_6U,"Activate senses in a 1 frame window. The cutscene will not properly clear senses, causing the cutscene to play out in darkness.",
,Goron Mines Early (Text Displacement),https://www.youtube.com/watch?v=4ANDpgF_8Vw,Use Text Displacement to skip the wrestling required to enter Goron Mines,
,Goron Mines Early (Spinner Clip),https://youtu.be/CRtnoiMKUo4,Clip passed the guards using a spinner. Requires Early Master Sword.,
,Goron Mines Early (Roll Clip),,Roll passed the left guard by rolling into him at a specific angle.,
,Goron Mines Early Elevator,https://youtu.be/PLQII3NLqeQ,"Use OOB navigation to access the elevator early, then use a spinner to bypass the elevator guard.",Alt method: https://youtu.be/GGbPLLuikIc
,"[TAS, Cross-Post] Goron Mines Early via Wolf Digs",https://www.youtube.com/watch?v=9EWxv6XcUUI,Frame perfectly chain Wolf Link digs to bypass the colliders on the NPCs blocking goron mines.,
,Super Jump OOB,https://youtu.be/BW5oUrDwqME,Super jump a kargarok to get OOB,
,,,,
,Goron Mines,,,
,Third Flame Jet Skip,https://www.youtube.com/watch?v=WB3z53lVitQ,Use a long jump attack to skip the third flame jet in the dungeon.,
,Magnet Skip,https://www.youtube.com/watch?v=nvC5ZQYmFNE,Skip activating magnet in outdoor area with a long jump attack.,
,Pipe Jump,https://www.youtube.com/watch?v=o7RA5Y4EMkM,Technically not a glitch. Jump off of a pipe instead of going through the area as intended.,
,[Wii] Magnetic Ceiling Without Iron Boots,<Need video>,? What are the steps,
,[Wii?] Magnetic Ceiling Jumpstrike Slide,https://youtu.be/jORCVzK4CUc,Jumpstrike into the ground to wall transition on a magnetic floor to continue to slide forward in a glitchy way.,
,Magnetic Wall OOB,https://youtu.be/3858GL0QFGs,Equip iron boots and jump attack into a magnetic wall to clip through it to get OOB. Can also fall into some water and swim OOB for a bit.,
,Kitty Climb,https://youtu.be/6545N3Kh8mQ,"Glitch into the steel beam geometry with faulty collision, and climb up through it to access a room early.",
,Fast Platform Cycle,https://youtu.be/9JiXZS3Ui6A,Glitchy jump into a moving platform to make a quick cycle,
,Key Shard Skip,https://www.twitch.tv/jacquaid/clip/JazzyPerfectDunlinFutureMan,Jump from atop the rotating platform to gain access to the top of the room early.,
,Dangoro Lava Skip,https://youtu.be/au1CJ_AmhMI?t=6m16s,"Throw Dangoro on the very edge of the platform as its tilted downward. He will die without drowning, and immediately kick into his exit dialogue. Afterwards, he will do a glitchy glide into the lava (after combat is entirely done) and you can L-Target him to gain extremely far camera angles.",
,[HD] Quick Transform Dangoro Clip,https://www.youtube.com/watch?v=xZ4LLYgbudI,Performing a quick transform (HD only) causes Dangoro to fall through the floor and take damage immediately,
,[HD] Dangoro Softlock,https://www.youtube.com/watch?v=CW5Hho_G9bE,Quick transform with Iron Boots directly after landing to softlock the fight. Wolf Link can only move by attacking in this state.,
,Dangoro EBF Pause Manip,https://youtu.be/VLkKeg50HV0,Unpausing seems to be able to change how EBF countdowns work,
,Fyrus Fast Cycles,https://youtu.be/IU_cj90Ce7M,Grabbing the chain as it is blown away allows for rapidly retrying cycles.,
,Ooccoo Slide Pot Push skipping rope bridge,https://www.youtube.com/watch?v=xIc6Owlh3dk,Us Ooccoo pot slide glitch to gain a boosted jump across the gap to bypass the rope bridge.,
,,,,
,Hidden Village,,,
,Transform in Hidden Village,<Need original video>,Stand in a precise location to transform back into Human Link,Alternate spot: https://www.youtube.com/watch?v=ZNFG9w2VH8E
,Early Hidden Village (Hidden Skills),https://www.youtube.com/watch?v=7cNSbp5bS1A,Get to hidden village early using a variety of special skills on terrain,
,Early Hidden Village (Epona Seam Clip),https://www.youtube.com/watch?v=q24IYehpVjo,Get to hidden village early via Epona Seam Clipping,
