,Name,Primary Source,Description,External Links / Additional Notes
,Slingshot Mini-game Reaction Skip,https://youtu.be/G_g8NfUVGew ,"While shooting the first target, speak to the kids while the slingshot pellet is midair. This dialog will cancel the reaction cutscene that normally plays. If executed perfectly, this should (unconfirmed) save fractions of a second.",
,Slingshot Mini-game Partial Completion,https://youtu.be/rZk_Xb_UgYc,"Complete and exit the slingshot mini-game at the same time. This will cause the targets to spawn outside of the mini-game, which normally only happens on completion.",
,Sword Mini-game Escape,https://youtu.be/Y5cpShpWRTU,Escape the sword mini-game by doing a jump slash to exit the mini-game early. No apparent usage.,
,Wooden Sword Dialog Range Glitch,https://youtu.be/guuJ1yfH2eE,Access cutscene dialog options outside of a cutscene. No apparent usage.,
,Squirrel Text Displacement Softlock,<Need video>,"With certain text displacement bits set, the game will softlock on the squirrel dialog",
,,,,
,Goats,,,
,21/20 Goats,https://youtu.be/J8Q50kn_hn8,Make a goat angry and have it escape the pen after being counted. The goats will never end. Very precise.,
,Goat Gate Skip (sorta),https://youtu.be/C-9BAcMEGPI,"Use epona to leave Goats area. Does not work while Goats are active, because during the event, a massive invisible wall spawns.",
,,,,
,Ordon Springs,,,
,Gate Clip / Epona Gate Clip,https://www.zeldaspeedruns.com/tp/msb/ordon-gate-clip,Position a rock or Epona to allow Link to clip through the fence.,
,Tiny Cutscene Trigger,https://youtu.be/0oVwdP-EgK4,"Normally Link is teleported into this cutscene trigger, but via hacks we can get here and trigger it manually.",
,Sword & Shield Skip,https://www.zeldaspeedruns.com/tp/msb/sword-shield-skip,Skip collecting the Ordon Sword / Shield.,
,,,,
,South Faron,,,
,Faron Escape,https://www.zeldaspeedruns.com/tp/msb/faron-escape,LJA to skip completing the Forest Temple / Faron Twilight.,
,Faron Spirit Text Skip,https://www.youtube.com/watch?v=eDdbRxsYQ4I,Close map instantly instead of waiting for all the dialogue.,
,Faron Spirit Double Map,https://www.youtube.com/watch?v=w5ZLS-pGtN8,"The map and midna text displayed twice. (Note: If anyone has footage without lag, please let me know so I can use that instead)",
,Vessel Midna Text Skip,https://www.zeldaspeedruns.com/tp/twilight/faron-twilight,"Between the cutscene of the Faron Vessel being completed and Midna's text, as human, backflip to avoid the text trigger.",
,Lantern Dupe,https://youtu.be/U0mLMy0k_OM,"Obtain the Lantern multiple times by performing a 1 frame jump to save/quit mid dialog. No apparent usage, as only one appears in inventory.",
,Coro Spirit Text Skip,https://www.youtube.com/watch?v=eJF3UJVyCSQ,Turn off senses to skip Coro's spirit dialogue after killing bugs.,
,Coro Text Displacement,<Need video>,Obtain Text Displacement storage from Coro dialogue. This can be used to gain access to Goron Mines early.,
,Nut Duping,https://www.twitch.tv/anorakkis/clip/DignifiedMoldySheepTTours-ftbXm7F-WAKzyuxO,Duplicate nuts by dropping them in South Faron to unload the exterior and ride Epona out of bounds,
,Ordona Spirit Water Epona OOB,https://youtu.be/W2EzZmaEC0M,Use Epona to get out of bounds in the spring water,
,,,,
,Mist Area,,,
,Monkey Pushing,<Need video>,"Speed up the monkey mist escort sequence by pushing the monkey a little bit every cycle. Pushing him too much loses time, as this will cause the monkey to return to an ""anchor"" spot.",
,Monkeyless Twilight Mist,https://www.youtube.com/watch?v=LxOhc3cCHp0,Traverse mist without the use of a monkey to guide you.,
,Early Midna Jump,https://www.zeldaspeedruns.com/tp/twilight/faron-twilight,Between Midna's text and the Midna jump becoming available entering the purple mist area from the tunnel - hold L and press A to start the Midna jump early.,
,Skip Digging Bugs,https://www.youtube.com/watch?v=pPVhdAaDml8,Voiding in the mist skips the need to dig up the bugs.,
,,,,
,Grotto (Mist -> North),,,
,Web Clip,https://www.twitch.tv/dootmeisterr/clip/SuccessfulCorrectBillGingerPower-FLjjCYBqxRsvCeSH,It seems that it is possible to clip through the webs if you get knocked into them at just the right time.,
,,,,
,North Faron,,,
,Early Master Sword,https://www.zeldaspeedruns.com/tp/msb/early-master-sword,Obtain the Master Sword very early into the game.,
,Bulbin Aggro Manipulation,<Need video>,Hitting the first two Bulbins post-Twilight will cause the 3rd Bulbin in the next area to start running towards Link early.,
,Talo Cutscene Storage,<Need video>,"Kill the last Bulbin, and then die or void out on the same (?) frame that Talo is freed. Upon respawning, the cutscene will play.",
,Early Forest Temple (Epona Clip),https://www.youtube.com/watch?v=6z8QzWX5Tfs,Use rod duping + Ebona OOB to clip through the forest temple rocks early,
,Early Forest Temple Escape,https://youtu.be/WR2HE3TDAU0,"Perform early forest temple with Rod Dupes + Epona. Before entering FT, break the cage, kill one enemy, and weaken the other. Prepare to enter FT, and finish off the last enemy with a slingshot. Do a frame perfect backflip into the loading zone 1 frame before the Talo cutscene plays. When leaving later, instead of voiding out, you will start the Talo cutscene.",
,Faron Woods Shadow Beasts Void,https://youtu.be/HCSXTl8KGBU,"If you kill the shadow beasts in south Faron Woods on the first try, before she teaches you the Midna attack, and then you go intentionally fail to kill the shadow beasts in North Faron woods, you fall through the map and void out",
,,,,
,Forest Temple,,,
,Void at Entrance,https://www.youtube.com/watch?v=kF4B5GV_5Wc,Void out at the Forest Temple entrance. Can be used to perform BiT.,
,Early Monkeys,https://www.zeldaspeedruns.com/tp/tech/early-boss-fights,"Set the boss flag to a valid value range after doing BiT, then load a Forest Temple file.",
,Destroyed Wolf (Monkey Swing),https://www.youtube.com/watch?v=IEm5hI_j534,Swing on the monkeys as Wolf Link. Requires Early Master Sword.,
,Monkey Swing with Iron Boots,https://www.youtube.com/watch?v=-e7uPOxM95k,Swing on the monkeys with iron boots by jump slashing into them,
,Monkey Pushing,https://www.youtube.com/watch?v=5d3IXKBkKQA,Push monkeys while the Bokoblins are dying to save a very tiny amount of time.,
,Diababa Soft-Lock,https://www.zeldaspeedruns.com/tp/tech/early-boss-fights,"Have a boss flag of value 1 and start the fight. Other EBFs skip intro cutscene, but this is already skippable.",
,Diababa Wolf Link Kill Softlock,https://youtu.be/IEm5hI_j534?t=38,Defeat Diababa as Wolf Link to softlock the cutscene afterwards. Requires Early Master Sword.,
,[HD] Decal Texture Glitch,https://www.youtube.com/watch?v=va8oUC2YgjU,A decal texture can project onto Link on the HD version of the game.,
,Diababa Fused Shadow Collection Skip,https://www.youtube.com/watch?v=27FkhjqAb-0,"Die at the same time as Diababa, causing death to override collecting the fused shadow piece. Note: This is will prevent the story flag that allows Link to leave Faron.",
,Ook Crash,https://youtu.be/UeNyuCuOQUA,[Cross-post] See General tab for details.,
,Skulltula Skip,https://www.youtube.com/watch?v=VuHTecVqJaE,Not technically a glitch. Jump at the platform edge to avoid the hanging Skulltula.,
,Invisible Monkeys,https://www.youtube.com/watch?v=O0lgWgoucCE,TODO,
,Early gale Boomerang (Bridge Clipping),https://www.youtube.com/watch?v=eM1EEAhCih4,Early Gale Boomerang by clipping into the edges of the rotating platforms.,
,Ook Pillar Downclip,https://clips.twitch.tv/CrazyZanyFerretNerfRedBlaster-Nny9A5FqVf1J3Ss0,"Somehow roll into a pillar at just the right timing, speed, angle to clip into it after Ook throws a boomerang. This forces link to fall through the map and void.",
,,,,
,Sacred Grove,,,
,Grove 2 Skip,https://www.zeldaspeedruns.com/tp/msb/grove-2-skip,"Skip most of Sacred Grove 2, go directly to Temple of Time.",
,Door Frame Grove Skip,https://www.youtube.com/watch?v=Sp-XZInzrC4,Another method for Grove Skip that uses a door frame ledge grab to clip out of bounds and LJA to the Skull Kid boss area.,
,Early Skull Kid Trigger,<Not proven without hacks>,"With arrows, it may be possible to hit the Skull Kid early in a few places, but this is not a sequence break because this does not warp you to him.",[Not proven yet without hacks]
,Double Howl at Puzzle,<Need video>,"Spaming A after howling at the puzzle causes another howl, deferring the puzzle from starting. No known use.",
,Master Sword Puzzle Skip,https://www.youtube.com/watch?v=hV6JoLFXeU8,"Perform Gale LJAs to get out of bounds, skipping the puzzle right before Master Sword. Not done in Any% since we don't have gale at this point.",
,Sacred Grove OOB / Loading Zone Bypass,https://www.youtube.com/watch?v=2kBIrzxUuQY,Use jumpstrike to get OOB in the second Grove map.,
,Wall Clip,https://www.youtube.com/watch?v=tB7zW1YMBw0,"Long Jump Attack to get onto a ledge, where Link can fall through the level geometry and land outside the map.",
,Rocks in Sacred Grove Puzzle,https://youtu.be/ilejQbSSc4k,"There are rocks in a back room that can be rolled into the puzzle area, and these seem to persist after the puzzle is started. Can potentially be used to void out wolf link, but doing so would provide no benefit (puzzle just restarts)",
,,,,
,Temple of Time,,,
,First Room Midna Text Skip via Cutscene Drop,https://www.youtube.com/watch?v=NCT-tufi6rQ,Trigger a cutscene drop via bottle cutscene to cause the boomerang to drop a pot on the switch early.,
,Ooccoo Cutscene Skip,<Need video>,Can Gale Boomerang Long Jump Attack over the cutscene trigger,
,Gate Puzzle Skips (Jump Attack Method),<Need video>,Jump attack after clawshotting above the gate to skip the puzzle that normally opens them,
,Gate 2 Puzzle Skip (Bomb Boost Method),https://youtu.be/Y8YcHoop5xM,Gale Long Jump Attack + Bomb Boost to skip door.,
,Early Poe,<Need video>,Use Helm Splitter on a boomerang stunned Lizalfos to gain enough speed to bypass the gate leading to the poe,
,2nd Small Statue Skip,<Need video>,Side hop onto the rising platform after placing the 1st statue to skip the need to place the 2nd one.,
,Heart Piece Chest without Control Rod,<Need video>,Throw the statues at precise angles to place them on the switches without the need for using the control rod,
,Darknut / Statue Cutscene Overlap,https://www.youtube.com/watch?v=SnVtZzZ9Q2E,Overlap the Darknut and Statue cutscenes by guiding the statue onto the switch on the same frame the Darknut dies. Note: The door open cutscene can also be overlapped with these two.,
,"Chest Cutscene ""Skip""",https://www.youtube.com/watch?v=AFtsTV1q_wM,"Die after lighting both torches to reveal the chest. On respawn, the torches will remain unlit, but the chest will be spawned. Does not save time.",
,Big Key without Spinner or Hidden Skills,https://youtu.be/bJFoyDMErHI,Use a bomb boosted LJA to access the big key early,
,Big Key with Jump Strike + Moon Boots,<Need video>,"Jump Strike + Moon Boots onto railing, then clawshot above boss key",
,Electric Gate Skip via LJA,<Need video>,Long Jump Attack with Gale Boomerang to skip needing to place statue on switch,
,Armogoma Teleport,https://youtu.be/6-cZ2QbecEc,? No idea,
,Armogoma Walk on Invisible Lower Ceiling,<Need video>,,
,Lizard Clipping,https://www.youtube.com/watch?v=zaOB_n2h7WM,Clip lizard enemy through the floor by causing the giant bell to crush them.,
,First room Door Skip,https://youtu.be/uVi9sEmLeVM?t=238,Use a controlled statue to push Link through the door.,
,[Cross-Post] ToT Lizalfos (?) Bomb Arrow Crash,<Need video>,Shooting a Lizalfos from where the small key chest is with a bomb arrow can cause a crash since they are not fully loaded (?) or something..,
,3rd staircase armos skip with BSMB BB,https://www.youtube.com/watch?v=qd7S_G7y_vE,Use backstrike moon boots to skip the 3rd staircase armos,
